"";"Astronomia";"Bitwa pod Grunwaldem";"Bitwa Warszawska";"Chrzest Polski";"Film dokumentalny";"Film fabularny";"Fryderyk Franciszek Chopin";"Horror na ekranie – co to za gatunek";"Ile jest planet i dlaczego";"Informatyka a coraz nowsze pojêcia informatyczne";"Informatyka bez z³udzeñ";"Johann Sebastian Bach";"Ksiezyc";"Ludwig van Beethoven";"Myœlenie komputacyjne";"Piêæ dekad - historia grafiki komputerowej";"Potop szwedzki";"Rodzaje i gatunki filmowe";"Slonce";"Wolfgang Amadeus Mozart"
"grudziñski";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"grunt";0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
"gruntowny";0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
"grunwald";0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"grunwaldzki";0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"grupa";1;0;14;2;0;0;0;0;3;1;0;0;1;0;1;0;0;4;1;0
"grupka";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"gruziñski";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"grycze³owska";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"grywaæ";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"grzech";0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gubernator";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gubernatora";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gubernatorstwo";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"guicciardi";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"gulden";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"guracjê";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"guracji";0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
"gusa";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gustaw";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0
"gustawa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0
"gustawem";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
"gustawowi";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"guwerner";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"gwa³t";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gwa³townoœæ";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gwa³towny";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0
"gwiazda";24;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;1;21;0
"gwiazdowy";5;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0
"gwiazdozbiór";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"gwiezdny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"györgy";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"h<u+1e17>lios";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"habsburgiem";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"habsburgów";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"habsburski";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"hala";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"halicza";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"halladin";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hallera";0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"halley";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hally";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"hamburga";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"hamburgiem";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"hamburgu";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"hammerskjolda";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"handel";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"hans";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hansa";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"happy";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hardy";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"harmon";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"harmonijny";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"hartwiga";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"has";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"has³o";0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0
"hatzfeldta";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"haumea";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"haussmanna";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"hawke";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"hawksa";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"haydna";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1
"haydna”";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"haydnem";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"heiligenstadt";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"heiligenstädter";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"heiligenstadzki";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
"heiligenstadzkim";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"heimatfilm";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"heinrich";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"heinricha";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"hektolitr";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"hel";0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;12;0
"heliocentryczny";3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"heliocentryzm";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"heliograficznych";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"heliopauza";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
"heliosa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"heliosejsmologia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"heliosfera";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0
"heliosferyczna";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"heliospheric";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"helíou";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"helius";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"hellenistyczny";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hellingera";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"hells";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"helman";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"he³m";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"heméra";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"henr";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"henri";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"henricim";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"henry’ego";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"henryk";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"henrykowi";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"herb";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hermana";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"hermetyczny";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"heroiczny";0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"heroizm";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"herold";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"herr";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"herschel";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hershel";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"hershela";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"herum";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"heterogeniczny";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"hetman";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
"hetmaniæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
"hetmañski";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"heweliusz";2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"hierarchia";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"hieronim";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"hieronymusa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"high";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hinduski";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"hipertekst";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"hipisowski";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hipoteza";0;0;0;0;0;0;1;0;0;0;0;0;3;3;0;0;0;0;2;0
"hipparch";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hipparchos";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hipplera";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"historia";2;0;1;0;2;1;0;4;2;2;1;0;2;2;0;3;0;3;0;1
"historiografia";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"historycznofilmowej";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"historyczny";2;0;0;1;2;0;0;0;0;0;1;0;0;1;0;0;0;3;0;0
"historyjka";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"historyk";0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"historyka";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"hiszpaniê";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hiszpanii";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hitchcocka";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hitlera";0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hitlerowski";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hmoll";0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
"hobolinie";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hodge";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"hoesick";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"hoesicka";0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
"hoesickiem";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"hoffmana";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"holenderski";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"hollywodzkich";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hollywood";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"hollywoodzki";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"hongryeon";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"honor";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"honoraty";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"honorowy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"hooper";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"hoopera";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"horrere";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"horror";0;0;0;0;0;1;0;21;0;0;0;0;0;0;0;0;0;5;0;0
"horror”";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"horyzont";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"horyzonty";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"hospital";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hostingowy";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"hoszka";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"hotel";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"hoven";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"howarda";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hpor";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"hrabia";0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
"hrabianka";0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
"hrabiego";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;3
"hrabiemu";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
"hrabina";0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
"hrubieszówrawa";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"httpblogstechrepubliccomcomtechmanagerptagnle";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"httpplwikipediaorgwikisolucja";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"httpwwwinformatykaplusedupl";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"hubble";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hufiec";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"huggins";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"huk";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"human";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"humanistyczny";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"humbug";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"hume¹";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"humor";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"humorystyczny";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"humphrey";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"hurdes";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hurdów";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hurwitz";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hurwitza";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"huston";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hustona";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"huygens";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"hyacinthus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"hybrydowoœæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"hydra";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"hymn";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"ibm";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0
"ibmpc";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"ibn";3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ibrahima";0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"id¹c";0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"id¹ce";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"id¹cej";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"idea";0;0;2;0;0;0;0;0;0;0;2;1;0;1;2;1;0;1;0;0
"idealist¹republikaninem";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"idealny";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0
"idea³";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"identyczny";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"identyfikowaæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"ideologia";0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ideologiczny";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"idomeneo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"idzie";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
"idziego";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"iego";0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
"iest";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"ignacemu";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"ignorant";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"ignorowaæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
"igrzyska";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ikona";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"ikonografia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
"ikonograficzny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"ile";0;2;0;0;2;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0
"ilji";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"illinois";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0
"illustrator";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"illustratora";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"ilmenit";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"iloœæ";0;0;1;0;0;0;0;0;1;0;0;0;11;1;0;2;0;0;2;1
"iluminant";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"ilustracja";0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0
"ilustracyjny";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"iluzja";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"iluzjonistyczny";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"imbrium";0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
"imbryjskim";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"imieniny";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"imiê";0;0;0;1;0;0;2;0;0;2;0;0;2;1;0;0;0;0;0;4
"imigrant";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"immanentny";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0
"imperium";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"impet";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"implementacja";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"improwizacja";0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0
"impulsywny";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"inaczej";0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;1;0;1
"inc";0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0
"indiach";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"indian";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"indianie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"indoeuropejski";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"indukcja";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
"indywidualny";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
"infant";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"infekcja";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"inflant";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"inflantach";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"inflanty";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"infonet";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"informacja";1;0;0;2;1;0;3;0;0;79;9;0;1;0;0;0;0;0;1;0
"informacjib";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"informacyjnokomunikacyjn¹";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"informacyjnokomunikacyjnej";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"informacyjny";0;0;0;0;0;0;0;0;0;23;2;0;0;0;1;0;0;0;0;0
"informatics";0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
"informatik";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"informatikwerke";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"informatio";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"information";0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0
"informatique";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"informatycznainformatyzacji";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"informatyczny";0;0;0;0;0;0;0;0;0;48;10;0;0;0;38;0;0;0;0;0
"informatyk";0;0;0;0;0;0;0;0;0;7;1;0;0;0;0;2;0;0;0;0
"informatyka";0;0;0;0;0;0;0;0;0;61;30;0;0;0;34;0;0;0;0;0
"informatyzacja";0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
"informatyzowaæ";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"informowaæ";0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
"inforna";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"infostrada";0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
"infradŸwiêk";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"ingarden";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ingerencja";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"ingerowaæ";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ingmara";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"inicjacja";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"inicjatywa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"inicjowaæ";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"innowacyjny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
"inny";4;4;0;0;6;3;9;1;13;10;5;6;6;2;6;1;1;12;2;3
"inscenizacja";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"inscenizacyjny";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"inscenizowaæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"insidious";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
"inskrypcja";0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
