"";"Astronomia";"Bitwa pod Grunwaldem";"Bitwa Warszawska";"Chrzest Polski";"Film dokumentalny";"Film fabularny";"Fryderyk Franciszek Chopin";"Horror na ekranie – co to za gatunek";"Ile jest planet i dlaczego";"Informatyka a coraz nowsze pojêcia informatyczne";"Informatyka bez z³udzeñ";"Johann Sebastian Bach";"Ksiezyc";"Ludwig van Beethoven";"Myœlenie komputacyjne";"Piêæ dekad - historia grafiki komputerowej";"Potop szwedzki";"Rodzaje i gatunki filmowe";"Slonce";"Wolfgang Amadeus Mozart"
"„eroica”";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"„etnografi¹";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„etnografii";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„film";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„futureworld”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"„g”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"„ghost";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„g³ówny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"„gwiazda”";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"„halo”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"„hammerklavier”";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"„house";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„idomeneo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"„informatyka";0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"„innego";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„interesuj¹cych";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"„interstellar”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„janczarskiej”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"„jazda";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„jedyna";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"„k”";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
"„kasyno”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„kino";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„klasyków";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"„klaszczcie";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"„kl¹tw¹”";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"„k³osy”";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"„koformacji”";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"„kolor”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"„kompania";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„kontrapunktuj¹";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"„kronice”";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„kroniki";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„król";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"„ksi¹¿eczka”";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"„ksiê¿yc”";0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
"„ksiê¿ycow¹”";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"„kurier";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"„kurierem";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"„lokalnych";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"„luna”";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"„³owca";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„³una”";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"„ma³y";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„manifest";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"„marsjanin”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„maszyny";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"„matk¹";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"„matki";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"„metod¹";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"„mierz¹";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"„miesi¹c”";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"„miserere”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"„mistrza”ostatnie";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"„modna";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"„moon”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„morski”";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"„musia³o";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"„muszkieterów";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„narodowe”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„niedziela”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"„noblesse";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"„obowi¹zuje”";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"„obyczajowy”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„ocalenia";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„odtworzone";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
